,clTrackID,timepoint,rel_time,rel_r,r_squared,circle_radius,radius_velocity,radius_acceleration,wave_centroid,cell_density,ca_avg_sig,split,trackable,drug_name,drug_dose,volunteer_ID,wave_ID,image_ID,real_time
56,3,157,22,219.8490807165766,48333.61829192381,260.244855014152,2.0168496495464523,-0.0102025297708741,[252.60564455 221.70744661],4008.114110586821,335.9031077997047,1.0,True,,,17,35-3,35,110.0
57,3,158,23,229.66828720739503,52747.52214877849,270.0640615049704,2.0311183855363084,-0.0314048426475778,[254.48134509 222.09183403],4020.771313041306,330.4797623842126,1.0,True,,,17,35-3,35,115.0
58,3,159,24,240.16026457193968,57676.95267926406,280.5560388695151,1.7028012230706735,-0.0793644542933145,[256.26296413 222.71325123],4013.739533899925,328.5224358974359,1.0,True,,,17,35-3,35,120.0
59,3,160,25,246.69629943810176,60859.06415645357,287.09207373567716,1.2374738426031626,-0.0851436131462401,[258.46644002 224.0518582 ],4013.739533899925,324.103184991274,1.0,True,,,17,35-3,35,125.0
60,3,161,26,252.5350029979713,63773.927739185376,292.9307772955467,0.8513650916082725,-0.0668290876238683,[260.57621023 225.36539103],3974.3615707081954,321.5731306215599,1.0,True,,,17,35-3,35,130.0
61,3,162,27,255.20995035418449,65132.11875978531,295.6057246517599,0.5691829663644796,-0.0278105094121383,[263.22668324 226.38211263],3992.6441964757846,319.59798295073165,1.0,True,,,17,35-3,35,135.0
62,3,163,28,258.22683266161613,66681.0971064503,298.6226069591915,0.573259997486889,-0.0122794133401492,[264.83013602 226.77112645],3975.767926536472,316.59841925090615,1.0,True,,,17,35-3,35,140.0
63,3,164,29,260.9425503290534,68091.01457223058,301.3383246266288,0.4463888329629867,-0.0361815696604981,[266.30424397 227.51327434],3964.517079910263,314.627349308632,1.0,True,,,17,35-3,35,145.0
64,3,165,30,262.690720991246,69006.41489490065,303.08649528882137,0.211444300881908,-0.0373134363637689,[267.15712561 228.44851388],3960.2980124254345,312.3420425560478,1.0,True,,,17,35-3,35,150.0
65,3,166,31,263.0569933378725,69198.98174396149,303.45276763544786,0.0732544693252975,-0.027637966311322,[267.63477627 228.54545629],3970.142503223368,311.275657806417,1.0,True,,,17,35-3,35,155.0
66,3,462,0,0.0,0.0,38.27022994941061,1.4701827541603592,0.4040893205705641,[185.41817797 226.39674113],4695.822110613824,341.02040612583113,0.0,True,,,17,36-3,36,0.0
67,3,463,1,7.350913770801796,54.03593326576348,45.62114372021241,3.49062935701318,0.2495758932706403,[180.53125    231.91666667],4674.726773189682,341.3920691651858,0.0,True,,,17,36-3,36,5.0
68,3,464,2,34.9062935701318,1218.4493308042247,73.17652351954241,3.9659416868667625,-0.1158990530841781,[181.41113218 221.26645788],4666.288638220026,344.2316953856598,0.0,True,,,17,36-3,36,10.0
69,3,465,3,47.01033063946942,2209.9711868322374,85.28056058888004,2.3316388261713983,-0.1762628284353079,[177.917615   223.89875118],4677.539484846234,345.93600622965874,0.0,True,,,17,36-3,36,15.0
70,3,466,4,58.22268183184578,3389.880679692345,96.4929117812564,2.2033134025136834,0.0088305696053878,[179.28746752 224.45649719],4685.977619815891,347.90963001417646,0.0,True,,,17,36-3,36,20.0
71,3,467,5,69.04346466460626,4767.000012892733,107.31369461401688,2.4199445222252765,0.0999239293131642,[175.21224222 229.91232539],4701.447533926928,357.97040912085936,0.0,True,,,17,36-3,36,25.0
72,3,468,6,82.42212705409855,6793.407028121965,120.69235700350916,3.202552695645326,0.1633827052055679,[175.80681818 229.52556818],4666.288638220026,366.72224107980753,0.0,True,,,17,36-3,36,30.0
73,3,469,7,101.06899162105952,10214.9410672978,139.33922157047013,4.0537715742809555,0.0462996568690655,[175.59794829 228.8773753 ],4677.539484846234,376.81017510931855,0.0,True,,,17,36-3,36,35.0
74,3,470,8,122.9598427969081,15119.122940640354,161.2300727463187,3.665549264335982,-0.1178337464174819,[175.10533628 229.30133639],4673.320417361406,379.81688397260547,0.0,True,,,17,36-3,36,40.0
75,3,471,9,137.72448426441935,18968.033565900292,175.99471421382995,2.8754341101061356,-0.1049556413800933,[175.03349347 229.1820331 ],4656.444147422093,383.3754367749536,0.0,True,,,17,36-3,36,45.0
76,3,472,10,151.71418389796946,23017.193595826895,189.98441384738007,2.615992850535048,-0.0191251587600723,[175.00550438 229.1822004 ],4649.412368280713,386.3409939500429,0.0,True,,,17,36-3,36,50.0
77,3,473,11,163.88441276976982,26858.100748892295,202.15464271918043,2.684182522505412,-0.0116722322749811,[173.33772818 228.8910839 ],4673.320417361406,385.336241838548,1.0,True,,,17,36-3,36,55.0
78,3,474,12,178.55600912302359,31882.24839394128,216.8262390724342,2.4992705277852365,-0.0508309500321567,[172.18859532 229.442597  ],4646.59965662416,384.8231535650819,1.0,True,,,17,36-3,36,60.0
79,3,475,13,188.8771180476222,35674.56572197541,227.1473479970328,2.1758730221838447,0.0147691863061842,[170.80141098 229.66798245],4643.786944967608,383.0945829922329,1.0,True,,,17,36-3,36,65.0
80,3,476,14,200.31473934486203,40125.99479880002,238.58496929427264,2.6469623908470794,0.0076528316893393,[169.81679815 230.37247306],4608.628049260707,381.8465547191662,1.0,True,,,17,36-3,36,70.0
81,3,477,15,215.34674195609298,46374.2192711041,253.6169719055036,2.252401339077238,-0.1360258665850807,[168.78133266 230.60851846],4617.0661842303625,378.8388674799832,1.0,True,,,17,36-3,36,75.0
82,3,478,16,222.83875273563442,49657.10972077322,261.108982685045,1.286703724996272,-0.1405753213203843,[166.66414625 231.40791695],4605.815337604155,374.98332767605774,1.0,True,,,17,36-3,36,80.0
83,3,479,17,228.2137792060557,52081.529019510344,266.4840091554663,0.846648125873395,-0.0668375595006438,[164.78898287 231.69688673],4605.815337604155,370.48467543877166,1.0,True,,,17,36-3,36,85.0
84,3,480,18,231.30523399436836,53502.111273189505,269.57546394377897,0.618328129989834,-0.0343337199575228,[162.8691249  232.45705983],4598.783558462774,367.1628097358385,1.0,True,,,17,36-3,36,90.0
85,3,481,19,234.39706050595404,54941.98197383189,272.66729045536465,0.5033109262981668,-0.0327542230633412,[160.87646381 233.00490559],4563.624662755872,364.2688537028533,1.0,True,,,17,36-3,36,95.0
86,3,482,20,236.33834325735003,55855.81249362901,274.60857320676064,0.2907858993564218,-0.0223246313914091,[158.79935069 232.82726813],4531.2784787055225,361.64089611245333,1.0,True,,,17,36-3,36,100.0
87,3,483,21,237.30491949951826,56313.62481867284,275.57514944892887,0.280064612384075,-0.0082545941125494,[157.05080921 232.79036245],4590.345423493118,357.8568775832119,1.0,True,,,17,36-3,36,105.0
88,3,484,22,239.13898938119078,57187.45624225728,277.4092193306014,0.2082399582309278,-0.0244095883291663,[155.75442066 232.54492469],4555.186527786215,354.75530619172173,1.0,True,,,17,36-3,36,110.0
89,3,485,23,239.38731908182754,57306.288537184715,277.65754903123815,0.0359687290924114,-0.0185968440173456,[155.35439066 232.42633473],4542.52932533173,352.9836671125931,1.0,True,,,17,36-3,36,115.0
90,3,486,24,239.4986766721149,57359.61612769423,277.7689066215255,0.0222715180574709,-0.002739442206988,[154.73952619 232.22056522],4581.907288523461,350.638659824691,1.0,True,,,17,36-3,36,120.0
91,2,149,0,0.0,0.0,42.28950196215428,2.477047961045481,-0.1104169916191772,[189.73180678 194.28707919],6830.670257936909,416.9393351155284,0.0,True,,,17,37-2,37,0.0
92,2,150,1,12.385239805227407,153.3941650329894,54.67474176738169,1.9249630029495948,-0.1710109574309235,[183.6103563  197.78021412],6815.200343825873,416.23613714767447,0.0,True,,,17,37-2,37,5.0
93,2,151,2,19.249630029495947,370.54825627247214,61.53913199165023,0.7669383867362456,-0.0308794962552978,[180.41471351 196.22419022],6802.543141371388,416.67715277700745,0.0,True,,,17,37-2,37,10.0
94,2,152,3,20.054623672589862,402.1879306492017,62.344125634744145,1.6161680403966163,0.2141342336373133,[185.55233754 199.81445556],6799.730429714836,424.8717041408304,0.0,True,,,17,37-2,37,15.0
95,2,153,4,35.41131043346211,1253.9609066150226,77.7008123956164,2.9082807231093795,0.2343263967913809,[187.74285714 194.75      ],6756.133399038277,433.5942585218134,0.0,True,,,17,37-2,37,20.0
96,2,154,5,49.13743090368366,2414.487115814286,91.42693286583794,3.959432008310426,0.2343476986306946,[187.94230769 194.48076923],6796.917718058283,439.0368271011969,0.0,True,,,17,37-2,37,25.0
97,2,155,6,75.00563051656638,5625.844609187675,117.29513247872066,5.251757709416326,0.1286417436506991,[190.65910195 194.56170599],6773.00966897759,444.10250579583146,0.0,True,,,17,37-2,37,30.0
98,2,156,7,101.65500799784692,10333.740651042322,143.9445099600012,5.245849444817418,-0.0682746435884327,[187.57063591 194.6962638 ],6751.914331553448,450.0320795110426,0.0,True,,,17,37-2,37,35.0
99,2,157,8,127.46412496474056,16247.103153027,169.75362692689484,4.5690112735319985,-0.1122255671591045,[189.4300967  195.46575839],6737.850773270688,454.0843806502424,0.0,True,,,17,37-2,37,40.0
100,2,158,9,147.34512073316694,21710.58460387153,189.6346226953212,4.123593773226372,-0.1171114778319526,[188.42892113 197.5921239 ],6742.069840755516,460.2708899513039,0.0,True,,,17,37-2,37,45.0
101,2,159,10,168.70006269700428,28459.711153973178,210.98956465915856,3.3978964952124726,-0.1618615644504291,[189.31588465 200.41084853],6747.69526406862,461.51877405686014,0.0,True,,,17,37-2,37,50.0
102,2,160,11,181.32408568529164,32878.42404960698,223.6135876474459,2.504978128722081,-0.1071030486077162,[189.72151434 203.36073725],6753.320687381724,463.3550376590387,0.0,True,,,17,37-2,37,55.0
103,2,161,12,193.7498439842251,37539.00204391156,236.03934594637937,2.3268660091353097,-0.046256213589967,[189.68324904 205.62367482],6736.444417442412,462.0666437421659,0.0,True,,,17,37-2,37,60.0
104,2,162,13,204.59274577664473,41858.19162442678,246.882247738799,2.04241599282241,-0.0668880060864239,[190.04276406 208.50599891],6736.444417442412,462.10657674346373,0.0,True,,,17,37-2,37,65.0
105,2,163,14,214.1740039124492,45870.503951889805,256.46350587460347,1.6579859482710702,-0.0673181811664054,[189.74042939 211.61176424],6708.31730087689,459.2026821665872,0.0,True,,,17,37-2,37,70.0
106,2,164,15,221.17260525935544,48917.32131721066,263.4621072215097,1.369234181158356,-0.0279740280326959,[189.426037   213.77744206],6749.101619896896,456.5251855220685,0.0,True,,,17,37-2,37,75.0
107,2,165,16,227.86634572403275,51923.07151362442,270.15584768618703,1.378245667944111,-0.005111329593185,[189.18940031 216.33038341],6706.910945048614,454.5217912169582,0.0,True,,,17,37-2,37,80.0
108,2,166,17,234.95506193879655,55203.88113066372,277.2445639009508,1.3181208852265058,-0.0257755778423989,[188.64142262 218.60019729],6671.752049341712,454.9800113143503,0.0,True,,,17,37-2,37,85.0
109,2,167,18,241.0475545762978,58103.92356721327,283.3370565384521,1.1204898895201212,-0.0328046815356316,[188.48404551 221.02331578],6728.006282472756,455.67808454703777,0.0,True,,,17,37-2,37,90.0
110,2,168,19,246.15996083399776,60594.726317795314,288.44946279615203,0.9900740698701896,-0.0255719484761408,[188.20481022 222.94616871],6697.066454250682,456.84920855009926,0.0,True,,,17,37-2,37,95.0
