,volunteer,seed_density,well_id,position,target_id,cell_num,target_size,cells_to_target,measured_density
82,5,10m,w2,p3,t1,581.5348522167486,2513.1700000000005,0.23139495227809836,8971.533516988062
83,5,10m,w2,p3,t2,458.3117031127574,1571.7900000000002,0.2915858372382808,10192.837465564737
84,5,10m,w2,p3,t3,462.8420189274449,2262.7000000000003,0.20455297605844558,10027.54820936639
85,5,10m,w2,p3,t4,579.2025999509443,2940.3000000000006,0.19698758628403368,8797.06152433425
86,5,10m,w2,p4,t1,817.801657785672,2747.9100000000003,0.29760860355167085,10881.542699724518
87,5,10m,w2,p4,t2,850.3208589925786,3129.0600000000004,0.27174961777421286,10541.781450872359
88,5,10m,w2,p4,t3,687.8278904194398,2790.26,0.24651032176909668,11193.755739210284
89,5,10m,w2,p4,t4,770.6937142857142,2993.5400000000004,0.25745228534969106,10569.32966023875
90,5,10m,w2,p5,t1,710.0502356902356,2859.2300000000005,0.24833617291726634,9834.710743801652
91,5,10m,w2,p5,t2,684.5618323081903,3058.8800000000006,0.2237949289636044,11147.842056932965
92,5,10m,w2,p5,t3,782.7598214938914,3862.3200000000006,0.20266570908000664,11221.303948576675
93,5,10m,w2,p5,t4,682.3233569885838,4204.750000000001,0.1622744175012982,8870.523415977961
94,5,3m,w3,p1,t1,375.2056650784631,2778.1600000000003,0.13505545579752895,3011.9375573921025
95,5,3m,w3,p1,t2,355.4374136740331,2924.5700000000006,0.12153493117758613,2451.7906336088154
96,5,3m,w3,p1,t3,186.12632589392842,1257.1900000000003,0.14804948010557545,2387.511478420569
97,5,3m,w3,p1,t4,615.8199651264167,3060.0900000000006,0.20124243572130773,2956.84113865932
98,5,3m,w3,p2,t1,528.3629839471197,3495.6900000000005,0.151146979265072,3425.1606978879704
99,5,3m,w3,p2,t2,460.7112142929242,3470.2800000000007,0.13275908984085552,3057.8512396694214
100,5,3m,w3,p2,t3,626.4156904745967,4152.72,0.15084467300338011,3324.1505968778692
101,5,3m,w3,p2,t4,945.5052728106372,5386.920000000001,0.17551871436936822,3406.795224977043
102,5,3m,w3,p3,t1,711.0960125404134,4395.93,0.16176236030610436,3939.393939393939
103,5,3m,w3,p3,t2,367.1347517730497,1303.1700000000003,0.28172437346858015,2745.6382001836546
104,5,3m,w3,p3,t3,410.8250672818147,2658.3700000000003,0.15454021346983854,2038.5674931129474
105,5,3m,w3,p3,t4,437.72876391329805,2939.0900000000006,0.1489334331079681,2782.3691460055093
106,5,3m,w3,p4,t1,390.011989698991,2113.8700000000003,0.18450140722891706,2387.511478420569
107,5,3m,w3,p4,t2,335.1508150908244,2603.9200000000005,0.1287101044159668,2415.0596877869602
108,5,3m,w3,p4,t3,546.6740591030754,2858.0200000000004,0.19127719858611042,3434.343434343434
109,5,3m,w3,p4,t4,334.4219467891869,1314.0600000000002,0.25449518803493515,4031.2213039485764
110,5,3m,w3,p5,t1,421.3697682174421,3523.5200000000004,0.11958773278353522,2736.455463728191
111,5,3m,w3,p5,t2,449.7597374390656,2761.2200000000003,0.16288442697034844,3801.652892561983
112,5,3m,w3,p5,t3,508.0,3358.9600000000005,0.151237287731917,3269.054178145087
113,5,3m,w3,p5,t4,561.4318682593065,2917.3100000000004,0.19244847762469755,3094.582185491276
114,17,10m,w1,p1,t1,742.92218329338,2795.1000000000004,0.26579449153639584,8411.386593204774
115,17,10m,w1,p1,t2,887.6861727229825,4076.4900000000007,0.2177574758488264,10018.365472910926
116,17,10m,w1,p1,t3,985.1773430782463,2901.5800000000004,0.3395313391594394,10358.126721763085
117,17,10m,w1,p1,t4,615.0040983606557,2918.5200000000004,0.21072464754761167,9641.873278236913
118,17,10m,w1,p2,t1,668.6267652992602,1908.1700000000003,0.35040209483393,11083.562901744719
119,17,10m,w1,p2,t2,706.1533073929961,3035.8900000000003,0.23260174360500416,10743.801652892562
120,17,10m,w1,p2,t3,596.6647434576553,2325.6200000000003,0.25656158076455104,10863.17722681359
121,17,10m,w1,p2,t4,884.040975609756,3367.4300000000007,0.26252690497196846,10541.781450872359
122,17,10m,w1,p3,t1,428.5837195244809,1563.3200000000002,0.27414970672957606,9719.00826446281
123,17,10m,w1,p3,t2,551.2005414410661,2548.26,0.2163046712035138,9824.79338842975
124,17,10m,w1,p3,t3,744.1993780234969,4391.090000000001,0.16947941809971936,8449.586776859504
125,17,10m,w1,p3,t4,420.4595111583422,1200.3200000000002,0.3502895154278377,9639.669421487602
126,17,10m,w1,p4,t1,810.3889539422324,4052.2900000000004,0.199982961224945,9908.172635445362
127,17,10m,w1,p4,t2,1264.3621227887618,3845.3800000000006,0.32880030654675524,10119.375573921028
128,17,10m,w1,p4,t3,855.6420437956208,3649.3600000000006,0.23446358917608037,9733.700642791551
129,17,10m,w1,p4,t4,822.0736086175942,2490.1800000000003,0.3301261790784578,10716.25344352617
130,17,10m,w1,p5,t1,786.4265758091994,3373.4800000000005,0.23312027218456885,10835.629017447198
131,17,10m,w1,p5,t2,789.8854116514203,3280.3100000000004,0.2407959649092373,10247.93388429752
132,17,10m,w1,p5,t3,780.8866254164685,3897.4100000000008,0.20036039970556557,10633.608815426996
133,17,10m,w1,p5,t4,562.9244463742945,2186.4700000000003,0.2574581157639,11588.613406795224
134,17,3m,w2,p1,t1,239.883992188737,2651.1100000000006,0.09048436020713473,2773.1864095500455
135,17,3m,w2,p1,t2,314.6294191919193,2874.9600000000005,0.10943784233238696,2874.1965105601466
136,17,3m,w2,p1,t3,373.8515269655621,2496.2300000000005,0.14976645860580234,3553.7190082644624
137,17,3m,w2,p1,t4,331.5774924749677,1929.9500000000003,0.1718062605119136,5105.601469237832
138,17,3m,w2,p2,t1,399.7347791709025,3154.4700000000007,0.12672010802794206,3755.7392102846643
139,17,3m,w2,p2,t2,401.89293647267885,2541.0000000000005,0.15816329652604438,4490.358126721762
140,17,3m,w2,p2,t3,240.6427802552668,1816.2100000000003,0.13249722237806574,3893.4802571166206
141,17,3m,w2,p2,t4,442.7273056494448,2501.07,0.17701515977139576,3829.201101928374
142,17,3m,w2,p3,t1,499.49792125213986,3395.2600000000007,0.147116250670682,3608.8154269972447
143,17,3m,w2,p3,t2,502.19147274714976,3068.5600000000004,0.1636570485006484,5702.479338842974
144,17,3m,w2,p3,t3,272.95588086824836,2524.0600000000004,0.10814159761188256,3057.8512396694214
145,17,3m,w2,p3,t4,274.90809453133915,2982.6500000000005,0.09216907599997957,4067.952249770431
146,17,3m,w2,p4,t1,,,,
147,17,3m,w2,p4,t2,116.64690587623504,2774.5300000000007,0.04204204167056583,3865.9320477502292
148,17,3m,w2,p4,t3,211.77402719174876,2761.2200000000003,0.07669581822228896,3351.6988062442606
149,17,3m,w2,p4,t4,310.12523176352175,2243.34,0.1382426345375742,2681.3590449954086
150,17,3m,w2,p5,t1,319.6976784178848,2450.2500000000005,0.1304755345037791,3526.170798898071
151,17,3m,w2,p5,t2,310.8061370432973,2741.8600000000006,0.11335594707362785,3535.353535353535
152,17,3m,w2,p5,t3,440.0791549672416,2884.6400000000003,0.15255947188115035,4839.302112029384
153,17,3m,w2,p5,t4,363.3772198407838,2815.6700000000005,0.12905532958080448,4527.0890725436175
154,17,6m,w3,p1,t1,223.0720464510013,1357.6200000000001,0.16431110800592308,6758.494031221303
155,17,6m,w3,p1,t2,417.6959782749256,3475.1200000000003,0.12019613086020786,5537.190082644627
156,17,6m,w3,p1,t3,428.10355706773896,2745.4900000000002,0.15592974553458178,7933.884297520661
157,17,6m,w3,p1,t4,559.3804497475907,2798.7300000000005,0.1998693870961438,8282.828282828283
158,17,6m,w3,p2,t1,523.6759222530742,3187.1400000000003,0.16430904266931298,8319.559228650138
159,17,6m,w3,p2,t2,497.7882270497547,3357.7500000000005,0.14825053296098717,6749.311294765839
160,17,6m,w3,p2,t3,498.6657670367416,3377.1100000000006,0.1476605047027611,7272.727272727272
161,17,6m,w3,p2,t4,629.9804037614256,2993.5400000000004,0.2104466296630162,7842.056932966023
162,17,6m,w3,p3,t1,487.70567943821595,3114.5400000000004,0.15658995531867173,5959.595959595959
163,17,6m,w3,p3,t2,678.5612410656271,3404.9400000000005,0.199287282908253,6859.504132231405
164,17,6m,w3,p3,t3,390.17694941896366,3296.0400000000004,0.11837749220851798,4224.0587695133145
